Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
"Hilll, Reynolds and Stamm",Italy,Recreation & Sports,Small,Jessica Martinez,1/11/2024,SAAS,New,1,,,741,10,10/15/2024,
"Schinner, Turcotte and Borer",France,Banking and Finance,Small,Jessica Martinez,3/21/2024,Services,New,1,,,1130,30,2/26/2025,
Bahringer Inc,Switzerland,Government Administration Healthcare,Small,Sarah Davis,2/14/2024,Services,New,1,,,1047,20,1/28/2025,
Green-Kunze,Austria,Transportation & Logistics,Small,John Smith,2/4/2024,SAAS,New,1,,,1473,50,2/24/2024,
"Huels, Cruickshank and Hayes",Germany,Manufacturing & Production,Small,Jessica Martinez,3/1/2024,Services,New,1,,,1084,60,2/25/2025,
Reynolds-Wiza,Portugal,Telecommunications,Small,John Smith,4/10/2024,Services,New,1,,,379,20,5/29/2024,
McGlynn Group,Portugal,Government Administration Healthcare,Small,Kevin Anderson,4/28/2024,Services,New,1,,,351,20,11/24/2024,
Gorczany-Legros,France,Professional Services  & Consulting,Small,Emily Johnson,5/12/2024,SAAS,New,1,,,1978,50,10/7/2024,
"Gulgowski, Kub and Miller",Spain,Banking and Finance,Small,John Smith,4/14/2024,Services,New,1,,,754,40,4/3/2025,
"Metz, Kub and Fahey",France,IT & IT Services,Small,Michael Brown,5/2/2024,Services,New,1,,,1487,40,6/14/2024,
Abshire LLC,Switzerland,Government Administration Healthcare,Small,Sarah Davis,5/8/2024,Services,New,1,,,1932,60,7/30/2024,
Lockman-Littel,Austria,Energy & Utilities,Small,Michael Brown,5/3/2024,Services,New,1,,,1315,60,1/4/2025,
Bradtke Inc,France,Telecommunications,Small,Laura Thompson,5/25/2024,SAAS,New,1,,,1339,40,3/28/2025,
Cartwright-Orn,France,Education & Science,Small,Laura Thompson,4/5/2024,SAAS,New,1,,,244,50,6/30/2024,
Littel-Hilpert,Netherlands,Banking and Finance,Small,Michael Brown,3/3/2024,SAAS,New,1,,,229,40,5/8/2024,
Franecki LLC,Portugal,Transportation & Logistics,Small,Laura Thompson,1/5/2024,SAAS,New,1,,,740,60,6/4/2024,
Mayert-Renner,France,IT & IT Services,Small,Jessica Martinez,5/5/2024,SAAS,New,1,,,433,30,2/9/2025,
Emmerich-Padberg,Switzerland,Transportation & Logistics,Small,Laura Thompson,2/22/2024,Custom solution,New,1,,,1073,30,12/25/2024,
Grimes-Marvin,France,Retail & Distribution,Small,Emily Johnson,2/5/2024,SAAS,New,1,,,242,30,6/21/2024,
"Maggio, Wilderman and Mueller",Austria,IT & IT Services,Small,Laura Thompson,4/25/2024,Custom solution,New,1,,,1884,20,10/18/2024,
"Toy, Gottlieb and Veum",Germany,Government Administration Healthcare,Small,Laura Thompson,3/24/2024,SAAS,New,1,,,223,90,4/28/2024,
"Hoeger, Hyatt and Glover",Switzerland,Education & Science,Small,Laura Thompson,4/28/2024,SAAS,New,1,,,1772,10,3/11/2025,
"Ferry, Denesik and Satterfield",Italy,IT & IT Services,Small,Michael Brown,3/20/2024,SAAS,New,1,,,820,30,12/23/2024,
"Bruen, Quigley and Kling",Netherlands,Recreation & Sports,Small,Laura Thompson,1/15/2024,SAAS,New,1,,,1241,60,12/24/2024,
Gibson and Sons,Belgium,Banking and Finance,Small,Kevin Anderson,4/29/2024,Custom solution,New,1,,,519,20,11/5/2024,
Little and Sons,Netherlands,Banking and Finance,Small,Kevin Anderson,5/21/2024,Services,New,1,,,706,40,5/16/2025,
"O'Conner, Stracke and White",Portugal,Telecommunications,Small,John Smith,4/28/2024,Services,New,1,,,1461,40,12/11/2024,
Smitham LLC,Switzerland,Energy & Utilities,Small,Sarah Davis,4/17/2024,Services,New,1,,,1913,100,7/10/2024,
"Dickinson, Jacobi and McKenzie",Italy,Telecommunications,Small,Laura Thompson,5/13/2024,SAAS,New,1,,,1539,20,6/30/2024,
Feest-Schoen,Portugal,Energy & Utilities,Small,Laura Thompson,4/10/2024,SAAS,New,1,,,1212,30,6/14/2024,
"Hane, Kassulke and Hermiston",Portugal,Professional Services  & Consulting,Small,Michael Brown,3/13/2024,Services,New,1,,,1832,20,7/18/2024,
"Lesch, Hauck and Bogan",Germany,Transportation & Logistics,Small,Jessica Martinez,3/18/2024,Custom solution,New,1,,,1553,20,8/4/2024,
Johnson-McDermott,France,Entertainment & Media & Hospitality,Small,John Smith,4/20/2024,Services,New,1,,,322,40,1/4/2025,
"Dare, Lesch and Gorczany",France,Transportation & Logistics,Small,John Smith,1/10/2024,Custom solution,New,1,,,1185,90,7/22/2024,
Reilly Inc,Netherlands,Banking and Finance,Small,Jessica Martinez,5/20/2024,Services,New,1,,,1747,20,7/16/2024,
Hyatt Group,Germany,Government Administration Healthcare,Small,Michael Brown,3/22/2024,SAAS,New,1,,,1286,20,2/12/2025,
Waters Inc,Belgium,Manufacturing & Production,Small,Laura Thompson,1/4/2024,Services,New,1,,,1735,90,2/9/2024,
Balistreri-Berge,Portugal,Transportation & Logistics,Small,David Wilson,5/4/2024,SAAS,New,1,,,1184,50,1/30/2025,
"Champlin, Altenwerth and Reichel",Switzerland,Education & Science,Small,Laura Thompson,2/18/2024,SAAS,New,1,,,352,40,10/24/2024,
Johnston-Bahringer,Italy,Telecommunications,Small,John Smith,1/11/2024,Custom solution,New,1,,,1581,50,3/6/2024,
Rath and Sons,Italy,Government Administration Healthcare,Small,David Wilson,5/24/2024,SAAS,New,1,,,1367,40,3/29/2025,
Langosh-Oberbrunner,Spain,Banking and Finance,Small,Sarah Davis,3/5/2024,Services,New,1,,,490,10,7/8/2024,
Dickinson LLC,France,IT & IT Services,Small,Laura Thompson,1/23/2024,SAAS,New,1,,,1627,40,3/11/2024,
"Heathcote, Barrows and Doyle",Portugal,IT & IT Services,Small,Laura Thompson,1/31/2024,Custom solution,New,1,,,716,50,8/16/2024,
"Cummerata, Wyman and Conn",Switzerland,Banking and Finance,Small,John Smith,2/14/2024,Services,New,1,,,1139,30,5/28/2024,
"O'Reilly, Torphy and Jakubowski",Switzerland,Banking and Finance,Small,Jessica Martinez,4/16/2024,Custom solution,New,1,,,427,40,9/15/2024,
Boyer LLC,Austria,Transportation & Logistics,Small,Michael Brown,4/18/2024,Services,New,1,,,857,50,12/3/2024,
"Bradtke, Predovic and Monahan",Portugal,Telecommunications,Small,Laura Thompson,3/17/2024,SAAS,New,1,,,1442,10,2/10/2025,
Schuppe Inc,France,Banking and Finance,Small,David Wilson,3/7/2024,Services,New,1,,,839,60,10/18/2024,
Hand-Heller,Germany,Retail & Distribution,Small,Jessica Martinez,1/23/2024,Custom solution,New,1,,,1660,80,12/2/2024,
Prohaska-Jenkins,Portugal,Banking and Finance,Small,David Wilson,5/1/2024,SAAS,New,1,,,576,80,2/25/2025,
"Johnston, Hettinger and Luettgen",Austria,Recreation & Sports,Small,Laura Thompson,3/23/2024,SAAS,New,1,,,1351,40,6/12/2024,
"Rodriguez, Miller and Bradtke",Belgium,Transportation & Logistics,Small,Jessica Martinez,2/7/2024,Custom solution,New,1,,,1579,70,1/3/2025,
"Batz, Schamberger and Feeney",Italy,Retail & Distribution,Small,Sarah Davis,5/7/2024,SAAS,New,1,,,731,20,10/5/2024,
Ortiz-Christiansen,Portugal,Government Administration Healthcare,Small,John Smith,5/18/2024,SAAS,New,1,,,931,30,4/4/2025,
Toy-Friesen,Austria,IT & IT Services,Small,Laura Thompson,1/23/2024,SAAS,New,1,,,1237,30,7/17/2024,
Sawayn and Sons,Italy,Government Administration Healthcare,Small,Kevin Anderson,4/23/2024,SAAS,New,1,,,1716,20,11/17/2024,
Turcotte-Hand,Portugal,IT & IT Services,Small,Jessica Martinez,1/17/2024,Services,New,1,,,1382,30,11/26/2024,
Bayer Group,Portugal,Agriculture & Mining,Small,Jessica Martinez,5/9/2024,Services,New,1,,,1194,100,12/2/2024,
Leffler-Okuneva,Belgium,Banking and Finance,Small,Kevin Anderson,1/10/2024,Services,New,1,,,1073,20,4/6/2024,
"Little, Deckow and Kunde",Spain,Government Administration Healthcare,Small,Michael Brown,5/11/2024,Services,New,1,,,1102,20,7/7/2024,
"Ortiz, Cartwright and Leffler",Italy,IT & IT Services,Small,Jessica Martinez,2/21/2024,Services,New,1,,,1252,50,11/8/2024,
Bernier and Sons,Belgium,Retail & Distribution,Small,Michael Brown,1/30/2024,SAAS,New,1,,,786,70,11/27/2024,
Rempel-Towne,Belgium,Professional Services  & Consulting,Small,Sarah Davis,3/20/2024,Services,New,1,,,1292,80,2/14/2025,
Sauer-Heaney,Italy,Banking and Finance,Small,Laura Thompson,1/9/2024,Services,New,1,,,317,60,7/13/2024,
Funk and Sons,Switzerland,Transportation & Logistics,Small,Laura Thompson,2/21/2024,SAAS,New,1,,,958,30,9/4/2024,
"Cruickshank, Cormier and Willms",Italy,Banking and Finance,Small,Sarah Davis,5/23/2024,Services,New,1,,,1364,50,9/6/2024,
"Roberts, Boehm and Swift",Switzerland,Transportation & Logistics,Small,Jessica Martinez,4/3/2024,Services,New,1,,,1348,20,5/14/2024,
"Gerlach, Kiehn and Weber",Switzerland,Banking and Finance,Small,Jessica Martinez,2/10/2024,Custom solution,New,1,,,1811,10,11/9/2024,
"Sawayn, Sanford and Skiles",Germany,IT & IT Services,Small,Sarah Davis,2/19/2024,SAAS,New,1,,,1607,10,1/12/2025,
"Harris, Schmidt and Kautzer",Italy,Transportation & Logistics,Small,Laura Thompson,4/5/2024,Services,New,1,,,1139,30,7/25/2024,
Stamm-Rath,Italy,IT & IT Services,Small,Michael Brown,1/26/2024,Services,New,1,,,487,50,9/13/2024,
"Hamill, Koepp and Quigley",Italy,Manufacturing & Production,Small,Sarah Davis,4/17/2024,Services,New,1,,,495,60,5/28/2024,
Hodkiewicz-Powlowski,Portugal,IT & IT Services,Small,Laura Thompson,2/8/2024,Services,New,1,,,344,40,4/1/2024,
Moore Group,France,Education & Science,Small,Laura Thompson,4/11/2024,SAAS,New,1,,,443,30,8/7/2024,
Schumm-Auer,Spain,Education & Science,Small,Emily Johnson,3/11/2024,SAAS,New,1,,,718,40,2/3/2025,
"Ward, Daugherty and Homenick",Austria,IT & IT Services,Small,Jessica Martinez,5/30/2024,Custom solution,New,1,,,1917,90,10/25/2024,
"Pollich, Robel and Friesen",Germany,Government Administration Healthcare,Small,Emily Johnson,1/23/2024,Custom solution,New,1,,,1729,50,6/28/2024,
"Weimann, Pacocha and McCullough",Italy,Construction & Engineering,Small,Jessica Martinez,5/4/2024,Custom solution,New,1,,,1345,10,8/15/2024,
"Champlin, Borer and Purdy",Portugal,Transportation & Logistics,Small,Michael Brown,4/21/2024,Services,New,1,,,1626,60,4/19/2025,
"Erdman, Medhurst and Rowe",Italy,Telecommunications,Small,Michael Brown,5/22/2024,SAAS,New,1,,,1592,50,7/23/2024,
Gutmann-Hoppe,Belgium,Energy & Utilities,Small,Jessica Martinez,2/7/2024,Custom solution,New,1,,,819,30,2/28/2024,
Lakin-Bradtke,Italy,Entertainment & Media & Hospitality,Small,Laura Thompson,2/28/2024,SAAS,New,1,,,766,50,2/15/2025,
"Ziemann, Bergstrom and Harber",Italy,Banking and Finance,Small,Jessica Martinez,1/9/2024,Services,New,1,,,834,40,12/30/2024,
Mitchell-Hauck,Italy,Transportation & Logistics,Small,Sarah Davis,3/29/2024,SAAS,New,1,,,1662,30,3/23/2025,
Labadie-Keeling,Germany,Recreation & Sports,Small,Michael Brown,1/13/2024,SAAS,New,1,,,1819,60,8/28/2024,
Borer Group,Austria,Agriculture & Mining,Small,Jessica Martinez,5/21/2024,Services,New,1,,,1142,20,6/26/2024,
"Goldner, Grant and Krajcik",Austria,Entertainment & Media & Hospitality,Small,Laura Thompson,2/21/2024,Custom solution,New,1,,,1340,30,8/16/2024,
Schinner and Sons,Belgium,Transportation & Logistics,Small,Emily Johnson,1/23/2024,Services,New,1,,,797,40,6/12/2024,
Kihn Inc,Germany,Transportation & Logistics,Small,Laura Thompson,5/9/2024,SAAS,New,1,,,644,40,1/25/2025,
Abbott-Wisoky,Netherlands,Banking and Finance,Small,Sarah Davis,5/19/2024,Services,New,1,,,355,30,2/26/2025,
"Strosin, Bahringer and Reilly",Germany,IT & IT Services,Small,John Smith,5/28/2024,Custom solution,New,1,,,1741,50,10/18/2024,
"McKenzie, Jerde and Altenwerth",Netherlands,Banking and Finance,Small,Laura Thompson,1/31/2024,SAAS,New,1,,,441,30,10/17/2024,
"Runolfsdottir, Mills and Jacobi",Germany,Transportation & Logistics,Small,Michael Brown,5/10/2024,SAAS,New,1,,,1239,40,3/2/2025,
"Tremblay, Thompson and Robel",Belgium,IT & IT Services,Small,Laura Thompson,5/11/2024,SAAS,New,1,,,467,40,2/15/2025,
Rutherford LLC,Germany,Transportation & Logistics,Small,Jessica Martinez,2/10/2024,SAAS,New,1,,,403,50,6/19/2024,
Rice-Bayer,Austria,Energy & Utilities,Small,Jessica Martinez,3/20/2024,SAAS,New,1,,,677,20,12/29/2024,
"Blanda, Gibson and Mills",Switzerland,IT & IT Services,Small,Michael Brown,3/29/2024,SAAS,New,1,,,690,10,11/27/2024,
"Deckow, Dickens and Koss",Switzerland,Transportation & Logistics,Small,Jessica Martinez,5/25/2024,SAAS,New,1,,,404,30,8/8/2024,
Sporer-Beer,France,IT & IT Services,Small,Michael Brown,2/12/2024,SAAS,New,1,,,1126,80,4/11/2024,
Hudson Group,Germany,Telecommunications,Small,Laura Thompson,1/30/2024,SAAS,New,1,,,1675,40,7/13/2024,
Gutmann-Friesen,Italy,Banking and Finance,Small,John Smith,5/13/2024,Services,New,1,,,1910,20,3/18/2025,
"Schmidt, Konopelski and Larson",Austria,Banking and Finance,Small,Laura Thompson,2/4/2024,Custom solution,New,1,,,857,30,11/21/2024,
O'Connell Group,Portugal,Government Administration Healthcare,Small,Jessica Martinez,3/14/2024,Services,New,1,,,1561,40,1/4/2025,
Willms-Hagenes,Portugal,Transportation & Logistics,Small,Michael Brown,5/27/2024,Custom solution,New,1,,,872,50,10/4/2024,
Metz-Kuvalis,Germany,Banking and Finance,Small,Jessica Martinez,1/7/2024,Services,New,1,,,757,30,8/12/2024,
Jakubowski Group,Germany,Retail & Distribution,Small,Laura Thompson,3/17/2024,SAAS,New,1,,,1521,70,3/17/2025,
Volkman Inc,France,Manufacturing & Production,Small,Michael Brown,4/20/2024,SAAS,New,1,,,1010,80,2/14/2025,
"Haley, Ritchie and Anderson",Italy,IT & IT Services,Small,Kevin Anderson,2/16/2024,Services,New,1,,,1175,30,7/5/2024,
Hoeger Inc,Italy,Professional Services  & Consulting,Small,Laura Thompson,1/26/2024,SAAS,New,1,,,1058,80,11/2/2024,
Monahan-Quitzon,Austria,Energy & Utilities,Small,Michael Brown,3/22/2024,SAAS,New,1,,,1546,10,4/30/2024,
"Crona, Keeling and Daniel",Switzerland,Transportation & Logistics,Small,Michael Brown,5/5/2024,SAAS,New,1,,,1029,90,9/19/2024,
"Bergnaum, Hyatt and Purdy",France,Energy & Utilities,Small,David Wilson,4/2/2024,SAAS,New,1,,,1736,40,10/4/2024,
Schiller-Stehr,Belgium,Banking and Finance,Small,Sarah Davis,1/2/2024,Services,New,1,,,1035,60,8/4/2024,
Kuhlman Group,Germany,IT & IT Services,Small,David Wilson,3/14/2024,SAAS,New,1,,,1077,20,10/10/2024,
Bogan Inc,Germany,IT & IT Services,Small,Laura Thompson,2/1/2024,Services,New,1,,,1462,60,9/5/2024,
Yundt Inc,France,Transportation & Logistics,Small,Jessica Martinez,1/9/2024,SAAS,New,1,,,1849,80,12/16/2024,
Sawayn-Bogan,Italy,Transportation & Logistics,Small,Emily Johnson,5/13/2024,SAAS,New,1,,,294,40,2/3/2025,
"Spinka, Johns and Tromp",Germany,Banking and Finance,Small,Laura Thompson,1/3/2024,SAAS,New,1,,,1632,30,11/16/2024,
Zieme-Cronin,Italy,Banking and Finance,Small,Laura Thompson,2/5/2024,SAAS,New,1,,,457,30,8/29/2024,
Gleichner-Kohler,France,Agriculture & Mining,Small,Emily Johnson,1/17/2024,Custom solution,New,1,,,852,40,12/21/2024,
Morar-Goyette,Austria,Banking and Finance,Small,Laura Thompson,4/1/2024,Services,New,1,,,220,30,3/17/2025,
Howell and Sons,Italy,Energy & Utilities,Small,David Wilson,4/28/2024,SAAS,New,1,,,733,60,11/2/2024,
Metz LLC,Belgium,Banking and Finance,Small,Michael Brown,3/13/2024,SAAS,New,1,,,1736,30,9/3/2024,
Schamberger Group,France,Education & Science,Small,Laura Thompson,1/20/2024,SAAS,New,1,,,1064,20,4/17/2024,
"Dickinson, King and Jenkins",Germany,Retail & Distribution,Small,John Smith,3/7/2024,SAAS,New,1,,,1152,40,4/25/2024,
Jakubowski LLC,Germany,Professional Services  & Consulting,Small,Sarah Davis,5/10/2024,SAAS,New,1,,,227,40,2/17/2025,
King-Rohan,Austria,Recreation & Sports,Small,David Wilson,3/11/2024,SAAS,New,1,,,1409,30,12/21/2024,
Rowe and Sons,Switzerland,Transportation & Logistics,Small,Michael Brown,3/28/2024,Services,New,1,,,1853,40,5/28/2024,
Barrows Group,Germany,Education & Science,Small,Laura Thompson,3/1/2024,SAAS,New,1,,,601,30,9/29/2024,
Kertzmann-Kris,Switzerland,IT & IT Services,Small,Jessica Martinez,3/16/2024,Services,New,1,,,637,40,7/11/2024,
"Hettinger, Trantow and Altenwerth",France,Agriculture & Mining,Small,Sarah Davis,1/12/2024,SAAS,New,1,,,1011,80,9/20/2024,
"Doyle, Krajcik and Wintheiser",France,Agriculture & Mining,Small,David Wilson,5/14/2024,Services,New,1,,,1368,40,4/7/2025,
Koss-Mertz,France,Professional Services  & Consulting,Small,Emily Johnson,5/23/2024,SAAS,New,1,,,706,60,11/18/2024,
Shanahan-Hodkiewicz,Austria,Transportation & Logistics,Small,Sarah Davis,3/26/2024,Custom solution,New,1,,,1324,50,2/26/2025,
Kunde and Sons,Portugal,Banking and Finance,Small,Laura Thompson,3/1/2024,Services,New,1,,,1916,90,4/13/2024,
"Kassulke, McClure and Greenfelder",Italy,Recreation & Sports,Small,Kevin Anderson,1/16/2024,SAAS,New,1,,,1838,30,2/17/2024,
Konopelski and Sons,Germany,IT & IT Services,Small,Sarah Davis,1/18/2024,SAAS,New,1,,,621,20,4/25/2024,
Thoughtbeat,Italy,Agriculture & Mining,Micro,John Smith,1/28/2024,SAAS,New,1,,,450,40,5/12/2024,
Pixope,Switzerland,Government Administration Healthcare,Micro,Kevin Anderson,2/17/2024,SAAS,New,1,,,904,80,7/23/2024,
Leexo,France,Manufacturing & Production,Micro,Kevin Anderson,2/16/2024,SAAS,New,1,,,299,60,5/3/2024,
Divavu,Italy,Transportation & Logistics,Micro,Emily Johnson,4/26/2024,Services,New,1,,,935,80,3/16/2025,
Zava,Germany,Government Administration Healthcare,Micro,Laura Thompson,1/24/2024,SAAS,New,1,,,828,100,10/8/2024,
Lajo,Belgium,Education & Science,Micro,Jessica Martinez,2/20/2024,Services,New,1,,,1035,50,8/28/2024,
Ainyx,Germany,IT & IT Services,Micro,Sarah Davis,3/23/2024,SAAS,New,1,,,749,20,3/18/2025,
Gigazoom,Italy,Government Administration Healthcare,Micro,Kevin Anderson,3/4/2024,SAAS,New,1,,,866,40,12/25/2024,
Trilith,France,IT & IT Services,Micro,Kevin Anderson,4/25/2024,Services,New,1,,,315,40,10/20/2024,
Eazzy,Italy,Professional Services  & Consulting,Micro,Kevin Anderson,5/24/2024,SAAS,New,1,,,376,50,5/5/2025,
Pixoboo,Italy,Energy & Utilities,Micro,Laura Thompson,2/18/2024,SAAS,New,1,,,625,30,7/20/2024,
Muxo,Austria,Banking and Finance,Micro,Jessica Martinez,4/27/2024,SAAS,New,1,,,859,20,4/15/2025,
"Koss, Walter and Murray",Italy,Retail & Distribution,Micro,Jessica Martinez,2/4/2024,SAAS,New,1,,,1139,30,7/7/2024,
"Goyette, Gottlieb and Cummings",France,Professional Services  & Consulting,Micro,Michael Brown,3/20/2024,Services,New,1,,,458,30,8/16/2024,
"Buckridge, Schinner and Walker",Netherlands,Retail & Distribution,Micro,David Wilson,1/21/2024,Services,New,1,,,737,40,1/20/2025,
Reichel-Kutch,France,Retail & Distribution,Micro,Jessica Martinez,3/25/2024,Custom solution,New,1,,,1096,40,3/12/2025,
Schoen-Waelchi,Germany,Construction & Engineering,Micro,Jessica Martinez,3/6/2024,Services,New,1,,,491,90,2/26/2025,
"Stracke, Hodkiewicz and Leuschke",Italy,IT & IT Services,Micro,Laura Thompson,3/20/2024,SAAS,New,1,,,1107,40,11/29/2024,
"Mohr, Adams and Emmerich",Spain,Transportation & Logistics,Micro,Kevin Anderson,3/29/2024,SAAS,New,1,,,261,30,8/13/2024,
Turner Inc,Austria,Education & Science,Micro,Laura Thompson,4/14/2024,SAAS,New,1,,,873,30,9/15/2024,
"Blick, Kessler and Gislason",Switzerland,Education & Science,Micro,Laura Thompson,3/16/2024,Custom solution,New,1,,,455,20,1/22/2025,
Koss-Maggio,Switzerland,Retail & Distribution,Micro,Jessica Martinez,4/17/2024,Services,New,1,,,600,40,9/15/2024,
Predovic and Sons,Italy,IT & IT Services,Micro,Sarah Davis,2/19/2024,Services,New,1,,,467,40,4/29/2024,
"Pacocha, Wuckert and Kerluke",Switzerland,Energy & Utilities,Micro,Emily Johnson,5/19/2024,SAAS,New,1,,,477,40,9/20/2024,
Macejkovic-Legros,France,Government Administration Healthcare,Micro,Jessica Martinez,3/2/2024,SAAS,New,1,,,1014,40,6/19/2024,
Harber-Murray,Switzerland,Entertainment & Media & Hospitality,Micro,Sarah Davis,4/6/2024,Services,New,1,,,226,40,1/31/2025,
"Krajcik, Hammes and Feil",Austria,Construction & Engineering,Micro,Kevin Anderson,1/17/2024,Custom solution,New,1,,,688,20,7/22/2024,
Kshlerin Group,Germany,Professional Services  & Consulting,Micro,Emily Johnson,1/7/2024,Services,New,1,,,814,40,11/4/2024,
Balistreri-Kub,Switzerland,Transportation & Logistics,Micro,Emily Johnson,2/25/2024,SAAS,New,1,,,648,50,4/12/2024,
Rippin-Franecki,France,Banking and Finance,Micro,Jessica Martinez,3/22/2024,Services,New,1,,,880,30,12/9/2024,
"Wehner, Kshlerin and King",Italy,Entertainment & Media & Hospitality,Micro,Michael Brown,3/24/2024,SAAS,New,1,,,936,80,2/13/2025,
Predovic LLC,France,Manufacturing & Production,Micro,Laura Thompson,4/29/2024,Services,New,1,,,796,70,8/18/2024,
Dare Inc,Germany,Energy & Utilities,Micro,Laura Thompson,1/2/2024,Services,New,1,,,973,30,4/22/2024,
